Titulo,Empresa,Local,Data,Categoria
Fisioterapeuta em Silves,"CLIPSA - Clinica Particular de Saúde, Lda.",Faro,12-9-2024,Saúde / Medicina / Enfermagem
Marketing,DESTREZA E SABEDORIA - LDA,Porto,12-9-2024,Informática ( Gestão de Redes )
Empregado de Mesa,Marco Filipe Franco Goncalves Fonseca,Porto,12-9-2024,Restauração / Bares / Pastelarias
Mecânico de Automóveis,"STATION LEIRIA, LDA",Leiria,12-9-2024,Conservação / Manutenção / Técnica
Estamos a Recrutar Carpinteiro de Limpos/Montador - mobiliário de cozinha (M/F),"FERREIRA E TEIXEIRA DA SILVA, LDA",Porto,12-9-2024,Indústria / Produção
Eng Civil - direcção de obra (com experiência),ICON BUILDING SOLUTIONS,Aveiro,12-9-2024,Engenharia ( Civil )
"Empregado de Mesa (m/f) -  Lx Factory Alcântara, Lisboa",1300 Taberna,Lisboa,12-9-2024,Restauração / Bares / Pastelarias
Personal Trainer - Element -Gyms,"E-FIT, UNIPESSOAL LDA",( Todas as Zonas ),12-9-2024,Desporto / Ginásios
Transferista - Empresa de Aluguer de Automóveis Leiria,DASPRENT RENT A CAR LDA,Leiria,12-9-2024,Transportes / Logística
Técnicos de Redes Elétricas (m/f/d) - ALEMANHA,Câmara de Comércio e Indústria Luso-Alemã,Outros Locais - Estrangeiro,12-9-2024,Conservação / Manutenção / Técnica
Procura-se Empregada de Mesa com Horários Flexíveis,Shari Sushi Bar,Coimbra,12-9-2024,Restauração / Bares / Pastelarias
Contabilista  Técnico de Contabilidade,Reis - Gestão de Empresas Lda,Faro,12-9-2024,Contabilidade / Finanças
Técnico de Higiene e Segurança no Trabalho,"Obricaje-Const.Civil Unip.,lda",Setubal,12-9-2024,Serviços Técnicos
"DELAgroup: Procura Advogado/a, 1/3 anos exp., Alvalade DELAgroup: Procura Advogado/a, 1/3 anos exp.,",DELAgroup,Lisboa,12-9-2024,Direito / Justiça
Técnicos Automóvel para trabalhar na Holanda- 540/580 euros líquidos por semana,KNL,Outros Locais - Estrangeiro,12-9-2024,Serviços Técnicos
Logística e Planeamento de Produção,Soul2Sole,Aveiro,12-9-2024,Gestão de Empresas / Economia
Pedreiros de 1ª Profissionais - França,RichFormula,( Todas as Zonas ),12-9-2024,Construção Civil
Técnico Eletronica / Electricidade / Mecatrónico - Zona NORTE,"ALTEIROS, LDA",Porto,12-9-2024,Serviços Técnicos
"Técnico Superior de Segurança no Trabalho, (M/F) Lisboa",Centralmed,Lisboa,12-9-2024,Serviços Técnicos
ASSISTENTE ADMINISTRATIVO - Contratação Pública/Importante  - Centro de Lisboa,MSL - Multiconsultadoria e Selecção Lda.,Lisboa,12-9-2024,Administração / Secretariado
Estamos a recrutar comerciais  [M/F],IMPETUOSOCASIAO LDA,Lisboa,12-9-2024,Imobiliário
Consultor(a) Comercial/ Formador(a),BodyConcept,Lisboa,12-9-2024,Comercial / Vendas
"Soldadores a Tig/ Serralheiros Civis, para as nossas instalações em Albergaria-a-velha","Perfirometal, Lda.",Aveiro,12-9-2024,Construção Civil
Colégio procura docentes - 2024/2025 - Horários completos e anuais,Colégio Miramar,Lisboa,12-9-2024,Educação / Formação
FrontOffice Rent-a-Car (M/F) - (Leiria ),DASPRENT RENT A CAR LDA,Leiria,12-9-2024,Lojas / Comércio / Balcão
Gestor/a Condomínios - ALCOCHETE e LOURES,PRDI-GESTÃO IMOBILIARIA LDA,Lisboa,12-9-2024,Contabilidade / Finanças
Motorista pesados / Administrativo,MERCAINOX COMPONENTES INDUSTRIAIS LDA,( Todas as Zonas ),12-9-2024,Transportes / Logística
Higienista Oral - Cascais,Clinica do Estoril Lda,Lisboa,12-9-2024,Saúde / Medicina / Enfermagem
Junta-te à nossa equipa - Montadores,Cubo para Projecto,Lisboa,12-9-2024,Construção Civil
Delegado regional de vendas para nossa região de vendas Sur de Portugal,REMS ESPAÑA SAU,Lisboa,12-9-2024,Comercial / Vendas
Técnico de Manutenção  (M/F) - Porto,Feels Like Home,Porto,12-9-2024,Conservação / Manutenção / Técnica
Manobrador de Máquinas - França,RichFormula,( Todas as Zonas ),12-9-2024,Construção Civil
Empregado de mesa (Odivelas) - Fabrica Rodizio de Picanha - Full-time,SENSEDIAGRAM - LDA,Lisboa,12-9-2024,Restauração / Bares / Pastelarias
Contabilista Certificado,"Plano de Contas, Lda",Viseu,12-9-2024,Contabilidade / Finanças
Gerente BodyConcept Saldanha,GrupoConcept,Lisboa,12-9-2024,Beleza / Moda / Bem Estar
Empregado de Mesa,Bistrô Xapuri LDA,Lisboa,12-9-2024,Restauração / Bares / Pastelarias
Técnico de Contabilidade São João da Madeira,DVD Group,Aveiro,12-9-2024,Contabilidade / Finanças
Pasteleiro 1º,Sociedade restaurantes sa,Lisboa,12-9-2024,Restauração / Bares / Pastelarias
Admite-se funcionária para café com experiencia,ROGERIO PAULO COSTA BRAGANÇA UNIPESSOAL LDA,Setubal,12-9-2024,Restauração / Bares / Pastelarias
Operador Armazém Logística (Vendas Novas),SENTINEL STATUS LDA,Evora,12-9-2024,Transportes / Logística
Recepcionista para Clinica médica em Cascais,"SKIN, SOUL AND SCIENCE, LDA",Lisboa,12-9-2024,Administração / Secretariado
